country,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bosnia and Herzegovina,$287 ,$294 ,$298 ,$302 ,$308 ,$313 ,$318 ,$324 ,$329 ,$335 ,$342 ,$360 ,$368 ,$377 ,$386 ,$396 ,$406 ,$417 ,$428 ,$439 ,$451 ,$463 ,$476 ,$514 ,$574 ,$759 ,$940 ,"$1,769 ","$2,357 ","$2,701 ","$2,884 ","$2,972 ","$3,089 ","$3,249 ","$3,365 ","$3,539 ","$3,701 ","$3,929 ","$4,200 ","$4,431 ","$4,304 ","$4,337 ","$4,381 ","$4,332 ","$4,443 ","$4,503 ","$4,808 "
Botswana,$698 ,$801 ,$981 ,"$1,200 ","$1,402 ","$1,461 ","$1,510 ","$1,588 ","$1,688 ","$1,834 ","$1,960 ","$2,103 ","$2,210 ","$2,387 ","$2,603 ","$2,727 ","$2,823 ","$2,955 ","$3,202 ","$3,706 ","$4,061 ","$4,206 ","$4,386 ","$4,374 ","$4,315 ","$4,333 ","$4,500 ","$4,627 ","$4,863 ","$4,773 ","$5,111 ","$5,098 ","$5,009 ","$5,215 ","$5,361 ","$5,413 ","$5,560 ","$5,888 ","$6,274 ","$6,534 ","$5,916 ","$6,301 ","$6,565 ","$6,776 ","$7,303 ","$7,527 ","$7,080 "
Brazil,"$4,466 ","$4,729 ","$5,132 ","$5,610 ","$6,239 ","$6,640 ","$6,821 ","$7,314 ","$7,472 ","$7,529 ","$7,843 ","$8,352 ","$7,798 ","$7,662 ","$7,234 ","$7,445 ","$7,862 ","$8,317 ","$8,446 ","$8,277 ","$8,391 ","$7,989 ","$7,974 ","$7,808 ","$8,042 ","$8,339 ","$8,574 ","$8,631 ","$8,791 ","$8,693 ","$8,609 ","$8,858 ","$8,845 ","$8,994 ","$8,986 ","$9,378 ","$9,559 ","$9,830 ","$10,309 ","$10,715 ","$10,586 ","$11,282 ","$11,619 ","$11,722 ","$11,942 ","$11,862 ","$11,159 "
Brunei,"$42,170 ","$41,388 ","$39,837 ","$39,653 ","$39,846 ","$42,292 ","$41,024 ","$47,644 ","$51,079 ","$52,717 ","$62,480 ","$56,126 ","$43,222 ","$43,569 ","$42,487 ","$41,472 ","$39,614 ","$37,356 ","$36,941 ","$36,243 ","$34,837 ","$34,237 ","$34,446 ","$35,202 ","$34,359 ","$34,506 ","$35,114 ","$35,198 ","$33,818 ","$32,826 ","$33,043 ","$33,212 ","$33,368 ","$33,913 ","$34,167 ","$33,656 ","$33,150 ","$33,977 ","$33,415 ","$32,183 ","$31,060 ","$31,316 ","$31,837 ","$31,596 ","$30,525 ","$31,614 ","$29,138 "
Bulgaria,"$2,695 ","$2,732 ","$2,772 ","$2,816 ","$2,858 ","$2,897 ","$2,942 ","$2,990 ","$3,037 ","$3,097 ","$3,157 ","$3,202 ","$3,349 ","$3,418 ","$3,528 ","$3,641 ","$3,732 ","$3,883 ","$4,112 ","$4,557 ","$4,403 ","$4,045 ","$3,754 ","$3,527 ","$3,564 ","$3,663 ","$3,804 ","$3,902 ","$3,899 ","$4,076 ","$3,879 ","$4,145 ","$4,336 ","$4,567 ","$4,850 ","$5,206 ","$5,556 ","$5,957 ","$6,410 ","$6,819 ","$6,509 ","$6,585 ","$6,752 ","$6,825 ","$6,936 ","$7,093 ","$7,502 "
Burkina Faso,$285 ,$282 ,$282 ,$285 ,$283 ,$302 ,$306 ,$327 ,$321 ,$328 ,$333 ,$327 ,$333 ,$356 ,$348 ,$333 ,$352 ,$370 ,$358 ,$367 ,$363 ,$350 ,$369 ,$358 ,$358 ,$350 ,$358 ,$385 ,$396 ,$412 ,$429 ,$423 ,$434 ,$434 ,$450 ,$456 ,$480 ,$495 ,$507 ,$527 ,$526 ,$553 ,$571 ,$589 ,$610 ,$615 ,$631 
Burma Myanmar,$406 ,$419 ,$431 ,$444 ,$455 ,$469 ,$484 ,$499 ,$514 ,$531 ,$547 ,$563 ,$580 ,$597 ,$615 ,$634 ,$652 ,$672 ,$691 ,$759 ,$772 ,$767 ,$811 ,$855 ,$876 ,$895 ,$937 ,$967 ,"$1,017 ","$1,040 ","$1,135 ","$1,222 ","$1,087 ","$1,113 ","$1,093 ","$1,227 ","$1,360 ","$1,439 ","$1,593 ","$1,635 ","$1,699 ","$1,770 ","$1,853 ","$1,968 ","$2,108 ","$2,247 ",$210 
Burundi,$218 ,$260 ,$262 ,$250 ,$266 ,$260 ,$256 ,$271 ,$296 ,$286 ,$277 ,$268 ,$289 ,$279 ,$282 ,$276 ,$302 ,$306 ,$315 ,$323 ,$320 ,$324 ,$332 ,$325 ,$314 ,$308 ,$271 ,$242 ,$231 ,$235 ,$226 ,$218 ,$216 ,$219 ,$210 ,$213 ,$209 ,$213 ,$217 ,$221 ,$221 ,$222 ,$224 ,$226 ,$228 ,$231 ,"$3,579 "
Cambodia,$128 ,$133 ,$140 ,$146 ,$152 ,$158 ,$168 ,$183 ,$199 ,$216 ,$228 ,$234 ,$239 ,$244 ,$248 ,$255 ,$263 ,$268 ,$271 ,$293 ,$292 ,$285 ,$296 ,$303 ,$297 ,$313 ,$326 ,$336 ,$348 ,$358 ,$394 ,$422 ,$449 ,$472 ,$504 ,$548 ,$612 ,$668 ,$724 ,$760 ,$747 ,$778 ,$819 ,$864 ,$912 ,$960 ,"$1,021 "
Cameroon,$840 ,$849 ,$860 ,$864 ,$890 ,$963 ,"$1,047 ",$964 ,"$1,066 ","$1,262 ","$1,298 ","$1,226 ","$1,378 ","$1,443 ","$1,506 ","$1,569 ","$1,640 ","$1,692 ","$1,602 ","$1,431 ","$1,364 ","$1,242 ","$1,160 ","$1,092 ",$977 ,$970 ,$982 ,"$1,002 ","$1,027 ","$1,049 ","$1,063 ","$1,078 ","$1,098 ","$1,111 ","$1,124 ","$1,134 ","$1,129 ","$1,134 ","$1,139 ","$1,139 ","$1,129 ","$1,134 ","$1,151 ","$1,172 ","$1,205 ","$1,243 ","$1,309 "
